SCHOOL_CODE,SCHOOL_NAME,school_region,LATITUDE,LONGITUDE,connectivity,uuid,Coverage,Coverage_type,2G_coverage,3G_coverage,4G_coverage,5G_coverage,2G_coverage_distance,3G_coverage_distance,4G_coverage_distance,5G_coverage_distance,2G_Best_Coverage_provider,3G_Best_Coverage_provider,4G_Best_Coverage_provider,5G_Best_Coverage_provider,2G_coverage_present,3G_coverage_present,4G_coverage_present,5G_coverage_present,Distance_to_nearest_tower,Data_Source
G_CRI_000040,C.T.P. DE JACO,Urban,9.62776173,-84.6231437,YES,973a0ff3-de89-3d61-9cbf-7e1aa3ff480b,YES,4G,Fair,Good,Fair,None,0-5km,0-5km,0-5km,None,Claro,Claro,movistar,None,YES,YES,YES,No,-1,Ericsson
G_CRI_000077,NOCTURNO DE SIQUIRRES,Urban,10.0913132,-83.50916808,NO,e5f12fa9-25a4-3c18-82d1-27eb0beec1c3,YES,4G,Fair,Fair,Fair,None,0-5km,0-5km,0-5km,None,Claro,Kolbi ICE,movistar,None,YES,YES,YES,No,-1,Ericsson
G_CRI_000078,NOCTURNO GUAYCARA,Urban,8.67642464,-83.0698718,YES,5d43b74f-4918-32d0-9ac3-396e5e5f3cbb,YES,4G,Good,Fair,Fair,None,0-5km,0-5km,0-5km,None,Claro,Kolbi ICE,movistar,None,YES,YES,YES,No,-1,Ericsson
G_CRI_000100,J.N. ANDRES BELLO LOPEZ,Urban,9.93279578,-84.18219286,YES,4ec4915a-a120-3d86-bd12-80cc4d58ba75,YES,4G,Good,Good,Good,None,0-5km,0-5km,0-5km,None,Kolbi ICE,Claro,Claro,None,YES,YES,YES,No,-1,Ericsson
G_CRI_000168,LA ISLA,Urban,9.97151745,-84.04399115,YES,9bb0c377-1db2-37b8-9c56-d6acca5cf419,YES,4G,Good,Good,Good,None,0-5km,0-5km,0-5km,None,Kolbi ICE,Kolbi ICE,movistar,None,YES,YES,YES,No,-1,Ericsson
G_CRI_000169,LA MINA,Urban,9.91630812,-84.19662684,YES,617fb4f2-d674-3914-8ef5-2ec94928b386,YES,4G,Good,Good,Good,None,0-5km,0-5km,0-5km,None,Kolbi ICE,Claro,Claro,None,YES,YES,YES,No,-1,Ericsson
G_CRI_000183,MARIA AUXILIADORA,Urban,9.93271569,-84.0906718,NO,49e9a6c2-bc28-3021-8ded-5fb9df051799,YES,4G,Good,Good,Good,None,0-5km,0-5km,0-5km,None,Kolbi ICE,Kolbi ICE,movistar,None,YES,YES,YES,No,-1,Ericsson
G_CRI_000220,SAN JERONIMO,Urban,10.00583572,-84.01667256,YES,78d9e4ba-f290-392d-84e0-fa96b6af092e,YES,4G,Fair,Good,Fair,None,0-5km,0-5km,0-5km,None,Claro,Claro,movistar,None,YES,YES,YES,No,-1,Ericsson
G_CRI_000225,SAN RAFAEL,Urban,9.980542,-83.9909524,YES,365f9558-6c1c-39ae-badd-3c8ba9555fb7,YES,4G,Good,Fair,Fair,None,0-5km,0-5km,0-5km,None,movistar,Claro,movistar,None,YES,YES,YES,No,-1,Ericsson
G_CRI_000258,JORGE DEBRAVO,Urban,9.92716774,-84.11179702,YES,a0c787cb-eaa5-3e31-88c6-334d8efc9960,YES,4G,Good,Good,Good,None,0-5km,0-5km,0-5km,None,Kolbi ICE,Kolbi ICE,Claro,None,YES,YES,YES,No,-1,Ericsson
G_CRI_000265,LINDA VISTA,Urban,9.88468961,-84.02563339,YES,1fe327ac-72f5-342c-a376-81aed4c34f7e,YES,4G,Fair,Good,Good,None,0-5km,0-5km,0-5km,None,movistar,movistar,movistar,None,YES,YES,YES,No,-1,Ericsson
G_CRI_000290,TRANQUERILLAS,Rural,9.80088812,-84.09991825,YES,f6c2eadc-574a-30c7-9ac9-5b7691458132,YES,4G,Good,Good,Good,None,0-5km,0-5km,0-5km,None,Kolbi ICE,Kolbi ICE,movistar,None,YES,YES,YES,No,-1,Ericsson
G_CRI_000292,CORAZON DE JESUS,Urban,9.87046416,-84.08805769,YES,ea48b84f-a79f-3808-8061-3c6c1710361d,YES,4G,Good,Good,Good,None,0-5km,0-5km,0-5km,None,Kolbi ICE,Kolbi ICE,movistar,None,YES,YES,YES,No,-1,Ericsson
G_CRI_000303,JOCOTAL ABAJO,Rural,9.7739662,-84.13339718,YES,052223a7-4d32-3b49-9908-6d548763d0d7,YES,4G,Fair,Good,Good,None,0-5km,0-5km,0-5km,None,Claro,Claro,Claro,None,YES,YES,YES,No,-1,Ericsson
G_CRI_000356,DR. MARIANO FIGUERES FORGES,Rural,9.76682144,-84.05402521,YES,3428ef0a-d447-3b92-86a7-e1fe819174ea,YES,4G,Good,Good,Good,None,0-5km,0-5km,0-5km,None,Kolbi ICE,Kolbi ICE,movistar,None,YES,YES,YES,No,-1,Ericsson
G_CRI_000357,SEVILLA,Rural,9.82189645,-84.18982821,YES,5b4751b7-3af1-39fc-aa5e-e43bd6a9bb41,YES,4G,Good,Good,Good,None,0-5km,0-5km,0-5km,None,Kolbi ICE,movistar,Claro,None,YES,YES,YES,No,-1,Ericsson
G_CRI_000387,LOS GUIDO,Urban,9.86827626,-84.04264396,YES,702a7c14-31e9-38a6-8bdf-53e9071809a1,YES,4G,Good,Good,Good,None,0-5km,0-5km,0-5km,None,Kolbi ICE,Kolbi ICE,movistar,None,YES,YES,YES,No,-1,Ericsson
G_CRI_000415,LLANO HERMOSO,Rural,9.82757149,-84.42427494,YES,9662ba48-6f85-36e0-83c8-1147fb576032,YES,4G,Good,Good,Fair,None,0-5km,0-5km,0-5km,None,movistar,Claro,movistar,None,YES,YES,YES,No,-1,Ericsson
G_CRI_000448,LAS DELICIAS,Rural,9.71256447,-84.5186356,YES,fc2cad79-e333-30d2-af2d-0325570f8a64,YES,4G,Fair,Good,Fair,None,0-5km,0-5km,0-5km,None,Claro,Kolbi ICE,movistar,None,YES,YES,YES,No,-1,Ericsson
G_CRI_000455,MERCEDES NORTE,Rural,9.83630126,-84.32693206,YES,c4cdbb0a-cc17-39e3-b3f9-032ab1f5430a,YES,4G,Fair,Good,Fair,None,0-5km,0-5km,0-5km,None,Kolbi ICE,Claro,Kolbi ICE,None,YES,YES,YES,No,-1,Ericsson
G_CRI_000552,SAN MARTIN,Urban,9.17332349,-83.33043286,YES,d7d6d0cc-d438-3a8a-b55a-ddbeaa1d7704,YES,4G,Fair,Fair,Fair,None,0-5km,0-5km,0-5km,None,Kolbi ICE,Kolbi ICE,movistar,None,YES,YES,YES,No,-1,Ericsson
G_CRI_000582,CONCEPCION,Rural,9.23285692,-83.65894853,YES,074a46cb-4b87-30b0-b0f3-16f6be0cf986,YES,4G,Fair,Good,Fair,None,0-5km,0-5km,0-5km,None,Claro,movistar,Kolbi ICE,None,YES,YES,YES,No,-1,Ericsson
G_CRI_000713,RÃO GRANDE,Rural,9.24409524,-83.6194856,YES,808141d1-8b1b-3a31-96b5-db5df212da2f,YES,4G,Fair,Good,Fair,None,0-5km,0-5km,0-5km,None,Claro,Claro,movistar,None,YES,YES,YES,No,-1,Ericsson
G_CRI_000718,RIO AZUL,Urban,9.20612109,-83.2556652,YES,2fe58584-e19f-31bf-a9a2-c010c789eab0,YES,4G,Fair,Fair,Poor,None,0-5km,0-5km,0-5km,None,Claro,Kolbi ICE,Kolbi ICE,None,YES,YES,YES,No,-1,Ericsson
G_CRI_000818,YUAVIN,Urban,9.18748778,-83.21188884,YES,5548c857-4595-38c3-8b6e-a441e6c67f97,YES,4G,Fair,Good,Good,None,0-5km,0-5km,0-5km,None,Claro,Kolbi ICE,Kolbi ICE,None,YES,YES,YES,No,-1,Ericsson
G_CRI_000853,FATIMA,Rural,9.98825243,-84.37972928,YES,e89ff7a3-364a-36f1-9e9c-6eb177433ca5,YES,4G,Good,Good,Fair,None,0-5km,0-5km,0-5km,None,movistar,Claro,movistar,None,YES,YES,YES,No,-1,Ericsson
G_CRI_000871,CARLOS MARIA RODRIGUEZ,Urban,10.11897374,-84.26294323,YES,af3bc3b8-194e-33aa-9943-e19c4c90a2cb,YES,4G,Fair,Fair,Fair,None,0-5km,0-5km,0-5km,None,movistar,movistar,movistar,None,YES,YES,YES,No,-1,Ericsson
G_CRI_000946,QUEBRADAS,Urban,10.04181671,-84.24495418,YES,06c304b8-67b6-3538-8538-f87ef697f063,YES,4G,Good,Good,Fair,None,0-5km,0-5km,0-5km,None,Claro,Claro,movistar,None,YES,YES,YES,No,-1,Ericsson
G_CRI_001028,CANUELA,Rural,10.1419512,-84.41093323,YES,413a5d0d-d141-3e54-b9f1-f16e590aab78,YES,4G,Excellent,Fair,Fair,None,0-5km,0-5km,0-5km,None,movistar,Kolbi ICE,movistar,None,YES,YES,YES,No,-1,Ericsson
G_CRI_001079,LLANO BRENES,Rural,9.99419193,-84.47223274,NO,3165d3a8-f6ab-3168-980a-a8def5b8301a,YES,4G,Fair,Good,Fair,None,0-5km,0-5km,0-5km,None,Claro,Kolbi ICE,movistar,None,YES,YES,YES,No,-1,Ericsson
G_CRI_001081,LORENZO GONZALEZ ARGUEDAS,Rural,10.16454571,-84.40215573,YES,ea286409-77ab-374f-99b2-fd15eab1d94d,YES,4G,Excellent,Fair,Fair,None,0-5km,0-5km,0-5km,None,movistar,Kolbi ICE,movistar,None,YES,YES,YES,No,-1,Ericsson
G_CRI_001095,MORELOS,Rural,10.17770614,-84.42417199,YES,884adae3-981e-3f0f-8606-4efb6d0d136a,YES,4G,Excellent,Fair,Fair,None,0-5km,0-5km,0-5km,None,Kolbi ICE,Kolbi ICE,movistar,None,YES,YES,YES,No,-1,Ericsson
G_CRI_001096,NAUTILIO ACOSTA PIEPPER,Rural,10.12367124,-84.48536084,NO,776d0ac2-fad3-355a-bbea-0a36803289f0,YES,4G,Good,Good,Fair,None,0-5km,0-5km,0-5km,None,movistar,Claro,movistar,None,YES,YES,YES,No,-1,Ericsson
G_CRI_001123,SANTA MARGARITA,Rural,10.04301262,-84.38658512,YES,cc88b85a-1d20-3646-b87e-947d0d0ae7df,YES,4G,Fair,Fair,Fair,None,0-5km,0-5km,0-5km,None,Claro,Kolbi ICE,movistar,None,YES,YES,YES,No,-1,Ericsson
