tile_bigint,clean_lat,clean_lon,school_id,sn,source_school_id,school_name,school_category,school_settings,district,sector,cell,village,electricity_availability,internet_availability,connectivity_type,number_of_students,number_of_teachers,computers,uuid,giga_school_id,latitude,longitude,percent_2g,percent_3g,percent_4g
2.62398E+15,-2.103444444,29.75066667,112,112,270809,GS KABGAYI A,GOVERNMENT_AIDED,12YBE,MUHANGA,NYAMABUYE,GAHOGO,KAMAZURU,ON GRID,FOUR_G,4G,1752,42,630,b750902a-9318-4894-bd8d-b30b66045370,G_RWA_00112,-2.103444444,29.75066667,28.32,64.54,7.14
2.6218E+15,-1.44722,29.57656,116,116,430706,GS KAMPANGA,PUBLIC,12YBE,MUSANZE,KINIGI,KAMPANGA,RUBARA,ON GRID,FOUR_G,4G,1872,51,155,0a7866f4-ed52-4e3e-932a-186a83a68b8c,G_RWA_00116,-1.44722,29.57656,38.16,55.92,5.92
2.62374E+15,-2.36486,29.73125,258,258,210110,EP RWESERO,PUBLIC,12YBE,NYANZA,BUSASAMANA,RWESERO,NYABISINDU,ON GRID,NONE,None,921,13,380,f219fcd6-1d27-4765-99ab-f36458e90c4b,G_RWA_00258,-2.36486,29.73125,31.19,58.26,10.55
2.62875E+15,-2.132805556,30.13222222,551,551,521402,GS MURAMA,PUBLIC,9 YBE,BUGESERA,NYAMATA,MURAMA,MURAMA,ON GRID,USB_MODEM,3G,900,18,299,5516e10e-a94d-4d82-9c09-008a1e47dfcc,G_RWA_00551,-2.132805556,30.13222222,30.33,60.93,8.74
2.62403E+15,-2.069638889,29.75480556,901,901,540916,GS NYABISINDU,PUBLIC,12YBE,MUHANGA,NYAMABUYE,GITARAMA,NYABISINDU,ON GRID,USB_MODEM,3G,763,28,230,f56e9eed-895c-4aa1-956a-98729a1e8a90,G_RWA_00901,-2.069638889,29.75480556,31.21,60.07,8.72
2.62673E+15,-1.65225,29.97013889,1015,1015,411406,EP MURWA,PRIVATE,PRIMARY,RULINDO,RUKOZO,BURARO,MURWA,OFF GRID,NONE,None,532,20,142,028dc814-21ec-4b55-ae12-ed3858d9ba36,G_RWA_01015,-1.65225,29.97013889,35.26,58.42,6.32
2.6139E+15,-2.4064166,28.9446666,1319,1319,361208,E P RUGARAGARA,GOVERNMENT_AIDED,PRIMARY,RUSIZI,NKANKA,KINYAGA,RUGARAGARA,ON GRID,USB_MODEM,3G,470,25,177,d378efb0-19bf-4f57-8052-87b8b3341177,G_RWA_01319,-2.4064166,28.9446666,36.67,55,8.33
2.62484E+15,-2.50894,29.81961,1550,1550,220103,GS GASAGARA,PUBLIC,12YBE,GISAGARA,GIKONKO,GASAGARA,GASAGARA,ON GRID,NONE,None,861,16,114,db8f8cbf-6e44-4c9c-b444-a80bcb50ad83,G_RWA_01550,-2.50894,29.81961,33.12,56.49,10.39
2.62312E+15,-1.51758,29.68203,1727,1727,430321,CS RUNGU,GOVERNMENT_AIDED,PRIMARY,MUSANZE,GACACA,KABIRIZI,RUNGU,ON GRID,USB_MODEM,3G,1107,26,,683012d8-d04d-4cf4-a7b1-55a18971280e,G_RWA_01727,-1.51758,29.68203,35.59,56.78,7.63
2.62795E+15,-1.961805556,30.06808333,1754,1754,110413,LYCEE de KIGALI,PUBLIC,SECONDARY,NYARUGENGE,NYARUGENGE,KIYOVU,RUGUNGA,ON GRID,FOUR_G,4G,970,30,105,4a9892e4-1bb2-4521-be1f-a1746f0771ea,G_RWA_01754,-1.961805556,30.06808333,22.99,69.42,7.59
2.61945E+15,-1.9868333,29.3888055,1963,1963,321002,GS BUMBA,GOVERNMENT_AIDED,TVET,RUTSIRO,MUSHUBATI,BUMBA,KARAMBI,ON GRID,FOUR_G,4G,1267,38,,5e0ec0f3-0bdd-4fe9-b8e6-e577a885c434,G_RWA_01963,-1.9868333,29.3888055,30.27,56.22,13.51
2.63543E+15,-2.14033,30.66619,2023,2023,550904,GS RUGARAMA1,PUBLIC,12YBE,KIREHE,MUSHIKIRI,RUGARAMA,CYANJUNA,ON GRID,FOUR_G,4G,1614,20,,c025240f-824b-412b-b595-01d2c12bc43c,G_RWA_02023,-2.14033,30.66619,37.74,50.94,11.32
2.62021E+15,-1.614138889,29.44936111,2187,2187,340110,KORA CATHOLIQUE,GOVERNMENT_AIDED,12YBE,NYABIHU,BIGOGWE,KORA,KAGELI,ON GRID,NONE,None,744,15,,55200656-fd0a-4a4c-9b95-b5869270c95c,G_RWA_02187,-1.614138889,29.44936111,38.16,54.11,7.73
