,uuid,country,source,giga_school_id,source_school_id,school_name,education_level,latitude,longitude,hex8,dq_score,source_timestamp,master_timestamp,school_archive,electricity_availability,internet_availability,number_of_students,number_of_teachers,computers,connectivity_type,coverage,coverage_type,2G_coverage,3G_coverage,4G_coverage
0,cdf4f80c-e3cc-4ebc-8931-8fe76018cc61,Rwanda,government,G_RWA_00002,521312.0,GS MUHORORO,Secondary,-2.159388889,29.54797222,886ade34e7fffff,0.67,2020,00:52.6,No,ON GRID,USB_MODEM,28,1,260.0,3G,YES,4G,YES,NO,YES
1,a58be9dc-59c4-4cf9-96f5-e5b8fa84ba82,Rwanda,government,G_RWA_00005,331220.0,GS MWENDO,Secondary,-1.730638889,30.21272222,886ad88707fffff,0.67,2020,00:52.6,No,ON GRID,USB_MODEM,62,3,272.0,3G,YES,4G,YES,YES,YES
2,9fe38ae7-7d51-4646-841b-1b6daa31c987,Rwanda,government,G_RWA_00006,411305.0,GS NYAGISOZI,Secondary,-2.295027778,29.64555556,886ade2481fffff,0.67,2020,00:52.6,No,ON GRID,USB_MODEM,64,4,218.0,3G,YES,4G,YES,NO,YES
3,8b5c3930-c3ea-44d8-a510-086f8c6889aa,Rwanda,government,G_RWA_00009,510619.0,GS RUGANGO,Secondary,-2.371833333,30.59916667,886ad821d7fffff,0.67,2020,00:52.6,No,ON GRID,USB_MODEM,80,2,252.0,3G,YES,4G,YES,YES,NO
4,2288686a-e13e-423a-b0bb-b7d08452e9a8,Rwanda,government,G_RWA_00012,130610.0,GS GIHINGA,Secondary,-1.926805556,30.59180556,886ad8a095fffff,0.67,2020,00:52.6,No,ON GRID,USB_MODEM,98,3,259.0,3G,YES,4G,YES,YES,YES
5,f74950df-3e95-47d3-8024-d21953768cac,Rwanda,government,G_RWA_00013,421111.0,GS RUYENZI,Secondary,-2.4235,29.82777778,886ad84001fffff,0.61,2020,00:52.6,No,ON GRID,USB_MODEM,98,3,217.0,3G,YES,4G,YES,YES,YES
6,dee212e0-445a-4981-a8a7-3327105e9aa9,Rwanda,government,G_RWA_00014,520343.0,GS BUREGA,Secondary,-2.159,29.40411111,886ade30bdfffff,0.56,2020,00:52.6,No,ON GRID,USB_MODEM,102,3,240.0,3G,YES,4G,YES,NO,YES
7,ae5a9dc6-6feb-446f-9f16-ec1dcf3988d3,Rwanda,government,G_RWA_00020,130140.0,GS KABARE II,Secondary,-2.078583333,30.64322222,886ad8acabfffff,0.67,2020,00:52.6,No,ON GRID,USB_MODEM,155,2,244.0,3G,YES,4G,YES,YES,YES
8,3e6b3ca7-af2c-4768-8280-0db56cff7209,Rwanda,government,G_RWA_00023,521224.0,GS NYAGASIGA,Secondary,-1.710972222,30.36919444,886ad8b341fffff,0.67,2020,00:52.6,No,ON GRID,USB_MODEM,238,15,213.0,3G,YES,3G,YES,YES,NO
9,f016ffce-04f2-45f4-a7f1-ff62ebd87266,Rwanda,government,G_RWA_00032,520335.0,GS MWENDO,Secondary,-2.194305556,29.52841667,886ade3583fffff,0.67,2020,00:52.6,No,ON GRID,USB_MODEM,304,12,394.0,3G,YES,4G,YES,YES,YES
