tile_bigint,clean_lat,clean_lon,uuid,country,source,giga_school_id,source_school_id,name,education_level,lat,lon,hex8,dq_score,source_timestamp,master_timestamp,school_archive,electricity_availability,connectivity_availability,num_students,num_teachers,num_computers,computer_lab,percent_2g,percent_3g,percent_4g
2.09E+15,8.972037,-12.91269,9ff31a81-67df-3629-bbcc-2dbc72e93c32,Sierra Leone,government,G_SL_000094,,KDC PRESCHOOL TAINTAFOR,Primary,8.972037,-12.91269,8854eb58cbfffff,0.67,2020,17:40.1,No,No,No,70,1,,No,11.02,74.02,14.96
2.12E+15,8.578695,-10.71954,68f65b94-2664-36b4-ab4c-ce3ce522fd9b,Sierra Leone,government,G_SL_000080,,K.D.E.C PRIMARY SCHOOL WAYIAH,Primary,8.578695,-10.71954,8875b40ea9fffff,0.67,2020,17:40.1,No,No,No,252,3,,No,10.94,74.22,14.84
2.11E+15,7.8626,-11.19196,98968d0a-3a93-36dd-84c0-52382a0f404c,Sierra Leone,government,G_SL_000033,129103102,"""ECHELON PROVIDENCE PRIVATE SCHOOL  (GBOKAKAJAMA SECTION, KENEMA TOWN (7.862557 ; -11.19178)""",Primary,7.8626,-11.19196,8875b0563dfffff,0.61,2020,17:40.1,No,Yes,No,52,2,,No,11.63,73.64,14.73
2.09E+15,9.079919,-12.79178,e20092d2-6df8-3dff-9f15-eca76afad64a,Sierra Leone,government,G_SL_000104,,MARON MUNU COMMUNITY PRIMARY SCHOOL,Primary,9.079919,-12.79178,8854eb5223fffff,0.67,2020,17:40.1,No,No,No,180,6,,No,11.02,74.02,14.96
2.11E+15,8.809905,-11.57226,6fcb9ee4-b825-3c6a-9d2c-c30bcd075e0d,Sierra Leone,government,G_SL_000240,,MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL ROBANG,Primary,8.809905,-11.57226,8875b69a0dfffff,0.67,2020,17:40.1,No,No,No,100,3,,No,12,73.6,14.4
2.11E+15,8.991123,-11.63813,dbb4008b-89e3-3a66-83b6-d84eec27476a,Sierra Leone,government,G_SL_000241,,SAINT JAMES CATHOLIC JUNIOR SECONDARY SCHOOL,Secondary,8.991123,-11.63813,8854e962edfffff,0.67,2020,17:40.1,No,No,No,60,7,,No,11.72,73.44,14.84
2.12E+15,8.097965,-10.6904,c2fb333e-6974-3fa5-8121-2403720d1c0e,Sierra Leone,government,G_SL_001004,111301102,"""KAILAHUN DISTRICT EDUCATION COMMITTEE PRE-SCHOOL  (NYAYAHUN SECTION, PENDEMBU TOWN (8.097809 ; -10.69039)""",Primary,8.097965,-10.6904,8875b08291fffff,0.94,2020,17:40.1,No,No,No,160,3,,No,11.11,73.81,15.08
2.11E+15,8.054656,-11.02295,3473e7e6-1b88-3607-82e5-000045234f1f,Sierra Leone,government,G_SL_001631,120802214,"""SIERRA LEONE CHURCH PRIMARY GAAHUN  (GBO SECTION, GAAHUN TOWN (8.054616 ; -11.02314)""",Primary,8.054656,-11.02295,8875b0c629fffff,1,2020,17:40.1,No,No,No,327,4,,No,11.36,74.24,14.39
2.11E+15,7.84986,-11.26404,fe29e586-7592-3832-a37d-c3fc841360e3,Sierra Leone,government,G_SL_001814,121403216,"""INTEGRATED COMMUNITY PRIMARY SCHOOL  (FALLAY SECTION, WANJAMA TOWN (7.849856 ; -11.26401)""",Primary,7.84986,-11.26404,8875b0554dfffff,1,2020,17:40.1,No,No,No,132,3,,No,11.45,74.05,14.5
2.11E+15,7.851962,-11.28874,b0a683c1-bb15-3db0-8fb7-1efc3a127daa,Sierra Leone,government,G_SL_001846,121403301,SMALL BO COMPREHENSIVE JSS,Secondary,7.851962,-11.28874,8875b050bbfffff,1,2020,17:40.1,No,No,No,123,12,,No,11.45,74.05,14.5
