uuid,country,source,school_id,giga_school_id,name,education_level,student_count,connectivity,type_connectivity,connectivity_speed,electricity_availability,lat,lon
4311e67f-667b-35b3-b27b-5eff74a4bfad,Costa Rica,government,3945,G_CRI_000001,LICEO NAPOLEON QUESADA SALAZAR,secondary,1164,YES,FO,60,Yes,9.94350864,-84.06152287
edf0833e-ad77-32b0-8e80-0c29feceb0a1,Costa Rica,government,3946,G_CRI_000002,LICEO MAURO FERNANDEZ ACUNA,secondary,881,YES,FO,40,Yes,9.95754211,-84.08078931
561d425c-4e7a-37ab-b96f-a8781095cb82,Costa Rica,government,3948,G_CRI_000003,LICEO ROBERTO BRENES MESEN,secondary,874,YES,ADSL,10,Yes,9.92195334,-84.10373486
73c10e7a-a1d7-37ae-b703-9a1058d1e958,Costa Rica,government,3982,G_CRI_000004,LICEO MONSENOR RUBEN ODIO HERRERA,secondary,1519,YES,FO,105,Yes,9.90180761,-84.06707439
8a870607-dcf8-3ea4-b356-0ada8e5124bb,Costa Rica,government,3997,G_CRI_000005,LICEO PURISCAL,secondary,930,YES,FO,60,Yes,9.84716076,-84.31321093
926033c6-5566-356e-bad7-f094e3013c28,Costa Rica,government,3999,G_CRI_000006,LICEO SINAI,secondary,780,YES,FO,60,Yes,9.37956942,-83.68900734
07553dce-3497-32a6-b719-516a2f544b9a,Costa Rica,government,4008,G_CRI_000007,LICEO FERNANDO VOLIO JIMENEZ,secondary,1100,YES,FO,20,Yes,9.3135149,-83.66605041
42d7e002-c956-30d1-9d1e-e3866df8ede5,Costa Rica,government,4009,G_CRI_000008,LICEO UNESCO,secondary,1330,YES,ADSL,10,Yes,9.38339536,-83.70467029
f3ea03fb-9204-3315-9938-7f0652482df7,Costa Rica,government,4010,G_CRI_000009,LICEO SAN PEDRO,secondary,476,YES,ADSL,6,Yes,9.27939347,-83.55196679
9694c921-7551-363a-8da3-202098644ab0,Costa Rica,government,4020,G_CRI_000010,LICEO LEON CORTES CASTRO,secondary,914,YES,FO,10,Yes,10.08214199,-84.31264387
ca3bc760-80be-353e-b27f-38c2b008d78e,Costa Rica,government,4034,G_CRI_000011,EXPERIMENTAL BILINGUE DE PALMARES,secondary,1653,YES,FO,105,Yes,10.05386587,-84.4348726
63c1c04a-51e1-390c-9316-d5c25822547e,Costa Rica,government,4051,G_CRI_000012,COLEGIO SAN LUIS GONZAGA,secondary,2614,YES,ADSL,10,Yes,9.86289314,-83.92263097
