sn,source_sch,school_nam,school_cat,school_set,district,sector,cell,village,latitude,longitude,electricit,internet_a,num_studen,num_teache,computers,uuid,connectivi,giga_schoo,2G,3G,4G
1,430710,GS MURAMA,PUBLIC,12 YBE,RUTSIRO,MASASA,GABIRO,GABIRO,-1.973666667,29.34669444,ON GRID,USB_MODEM,21,1,323,9701a58f-8724-4e63-b665-a6bc51eab7f9,3G,G_RWA_00001,3,3,3
2,521312,GS MUHORORO,PUBLIC,12 YBE,KARONGI,MURAMBI,MUHORORO,BWAKIRA,-2.159388889,29.54797222,ON GRID,USB_MODEM,28,1,260,cdf4f80c-e3cc-4ebc-8931-8fe76018cc61,3G,G_RWA_00002,3,,3
3,120515,GS MWENDO,PUBLIC,12 YBE,RUHANGO,MWENDO,GAFUNZO,NYAMIGINA,-2.166805556,29.68805556,ON GRID,USB_MODEM,43,1,217,ce94c79c-882e-4f64-a1d8-fcb73add4f84,3G,G_RWA_00003,3,3,3
4,120122,GS KIMISANGE,PUBLIC,12 YBE,KICUKIRO,KIGARAMA,BWERANKORI,NYENYERI,-1.989888889,30.06041667,ON GRID,USB_MODEM,47,3,251,a80c737c-322a-4874-ab0b-ca4eb68d1507,3G,G_RWA_00004,3,3,3
5,331220,GS MWENDO,PUBLIC,12 YBE,GICUMBI,MUKO,MWENDO,KAGOGO,-1.730638889,30.21272222,ON GRID,USB_MODEM,62,3,272,a58be9dc-59c4-4cf9-96f5-e5b8fa84ba82,3G,G_RWA_00005,3,,3
6,411305,GS NYAGISOZI,PUBLIC,12 YBE,NYANZA,CYABAKAMYI,KARAMA,NYABINOMBE,-2.295027778,29.64555556,ON GRID,USB_MODEM,64,4,218,9fe38ae7-7d51-4646-841b-1b6daa31c987,3G,G_RWA_00006,3,,3
7,430323,GS RWAMIKO,PUBLIC,12 YBE,RUTSIRO,MANIHIRA,HANIRO,KAZIRAMIHUNDE,-1.939388889,29.44002778,ON GRID,USB_MODEM,70,2,257,f66b942f-034d-4061-a4f0-cb2c6771bfc2,3G,G_RWA_00007,3,1,
8,510402,GS KIGARAMA,PUBLIC,12 YBE,KIREHE,KIGARAMA,KIGARAMA,SAMUKO,-2.333916667,30.70205556,ON GRID,USB_MODEM,74,2,422,1daced85-eab1-416a-8270-db0ec267c179,3G,G_RWA_00008,3,3,3
9,510619,GS RUGANGO,PUBLIC,12 YBE,KIREHE,MUSAZA,KABUGA,RUGANGO,-2.371833333,30.59916667,ON GRID,USB_MODEM,80,2,252,8b5c3930-c3ea-44d8-a510-086f8c6889aa,3G,G_RWA_00009,3,,
10,521042,GS NYABISINDU,PUBLIC,12 YBE,GATSIBO,KIRAMURUZI,NYABISINDU,AKABUGA,-1.830611111,30.38169444,ON GRID,USB_MODEM,84,3,234,39bc3129-4120-4568-96d5-5220696a123b,3G,G_RWA_00010,3,3,3
11,430229,GS KIGARAMA,PUBLIC,12 YBE,RUTSIRO,BONEZA,NKIRA,KIGARAMA,-1.904555556,29.30791667,ON GRID,USB_MODEM,93,3,239,6c973714-7fb5-42fd-9b04-b43861995fba,3G,G_RWA_00011,3,3,3
12,130610,GS GIHINGA,PUBLIC,12 YBE,KAYONZA,RWINKWAVU,GIHINGA,GIHINGA,-1.926805556,30.59180556,ON GRID,USB_MODEM,98,3,259,2288686a-e13e-423a-b0bb-b7d08452e9a8,3G,G_RWA_00012,3,3,3
13,421111,GS RUYENZI,PUBLIC,12 YBE,NYANZA,NTYAZO,CYOTAMAKARA,RUYENZI,-2.4235,29.82777778,ON GRID,USB_MODEM,98,3,217,f74950df-3e95-47d3-8024-d21953768cac,3G,G_RWA_00013,3,3,3
14,520343,GS BUREGA,PUBLIC,12 YBE,KARONGI,GITESI,NYAMIRINGA,CYIMA,-2.159,29.40411111,ON GRID,USB_MODEM,102,3,240,dee212e0-445a-4981-a8a7-3327105e9aa9,3G,G_RWA_00014,3,,3
15,120726,GS KIBYAGIRA,PUBLIC,12 YBE,NYAMAGABE,BURUHUKIRO,GIFURWE,NGANZO,-2.424583333,29.41219444,ON GRID,USB_MODEM,104,5,251,46b39207-d253-40ca-b1f3-85a08d95946b,3G,G_RWA_00015,3,2,3
16,121121,GS MURAMBA,PUBLIC,12 YBE,RUSIZI,BUTARE,BUTANDA,KARAMBO,-2.569333333,29.08658333,ON GRID,USB_MODEM,106,4,220,5f01f330-f28c-4a4a-b25b-98b1afe833a9,3G,G_RWA_00016,3,,3
17,270854,GS RWAHI,PUBLIC,12 YBE,GAKENKE,COKO,MBIRIMA,BURENGO,-1.781305556,29.82825,ON GRID,USB_MODEM,114,4,299,72923002-37c6-4e02-a70d-34c3ce9ca0de,3G,G_RWA_00017,3,3,3
18,520908,GS RUHUHA,PUBLIC,12 YBE,BUGESERA,RUHUHA,RUHUHA,RUHUHA I,-2.306055556,30.05166667,ON GRID,USB_MODEM,133,4,297,02bc689a-74e7-439d-a0e5-c4f7493bd47c,3G,G_RWA_00018,3,3,3
