uuid,country,source,school_id,giga_school_id,name,education_level,lat,lon,hex8,dq_score,source_timestamp,master_timestamp,school_archive,electricity_availability,connectivity,student_count,teacher_count,computer_count,computer_lab,fiber_node_distance,nearest_school_distance,Schools_within_1km,Schools_within_3km,Schools_within_10km,nearest_celltower_id,nearest_celltower_distance,2G,3G,4G,pop_within_1km,pop_within_3km,pop_within_7km
b4218644-52aa-3da9-8bfd-b60ef9e60912,Sierra Leone,government,,G_SL_000001,BADRUDEEN ISLAMIC PRIMARY SCHOOL,Primary,7.988612,-10.64796,8875b084a9fffff,0.67,2020,44390.5956,No,No,No,117,4,,No,33.46902583,0.12633239,6,24,293,334,12.17150787,1,0,0,4848,35964,188977
84b52390-a1a8-3e1d-b2f3-1bebde50f350,Sierra Leone,government,,G_SL_000002,KAILAHUNTER DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,Primary,7.822542,-10.92325,8875b00213fffff,0.67,2020,44390.5956,No,No,No,111,3,,No,19.54802561,1.485852295,5,22,697,295,19.03215061,1,0,0,5974,30875,202648
70074963-6cd0-3cd8-a574-78e5acbfefb8,Sierra Leone,government,,G_SL_000003,BADRUDIEN ISLAMIC  PRIMARY  SCHOOL,Primary,8.282627,-10.37537,8875b5533dfffff,0.67,2020,44390.5956,No,No,No,190,4,,No,42.96569056,0.138126582,20,51,211,225,20.18432821,1,0,0,21535,64975,197856
e734f64f-4ad4-3a17-9d55-9e032a6cca5e,Sierra Leone,government,,G_SL_000004,KAILAHUN  DISTRICT  EDUCATION  COMMITTEE  PRE-SCHOOL,Primary,8.283335,-10.37064,8875b55339fffff,0.67,2020,44390.5956,No,No,No,55,2,,No,43.18508338,0.004263215,19,52,211,225,20.70700382,1,0,0,21834,64932,194285
bbc80ca5-4e5f-3896-b1f3-6c2f87f5b61e,Sierra Leone,government,,G_SL_000005,KAILAHUN  DISTRICT  EDUCATION  COMMITTEE  PRIMARY  SCHOOL,Primary,8.206346,-10.34603,8875b550a5fffff,0.67,2020,44390.5956,No,No,No,133,3,,No,51.8405347,1.692872548,4,32,207,225,24.75088451,0,0,0,7381,51201,129553
25f2152e-99b2-356c-969a-ef3d417e998b,Sierra Leone,government,,G_SL_000006,KAILAHUN  DISTRICT  EDUCATION  COMMITTEE PRIMARY  SCHOOL,Primary,8.170468,-10.35651,8875b54205fffff,0.67,2020,44390.5956,No,No,No,190,3,,No,54.74238435,2.515011089,2,14,209,225,25.2848667,0,0,0,4377,26864,112449
f1e92c26-d024-3374-bc2c-815e815a6105,Sierra Leone,government,,G_SL_000007,MAKPADU  COMMUNITY  PRIMARY  SCHOOL,Primary,8.235952,-10.32845,8875b55013fffff,0.67,2020,44390.5956,No,No,No,200,5,,No,50.12963947,1.635105806,3,35,198,225,25.79143863,0,0,0,9984,54026,134481
2fe103f2-75d9-35e6-b6f0-23e3a33a9740,Sierra Leone,government,,G_SL_000008,CATHOLIC SECONDARY AND VOCATIONAL SCHOOL,Secondary,8.235594,-10.71566,8875b0901dfffff,0.67,2020,44390.5956,No,No,No,150,8,,No,26.66368277,0.725900191,4,27,374,241,12.67783968,1,1,0,5832,32218,225374
ce6b530b-28b9-3185-9a1c-620fdd06055d,Sierra Leone,government,,G_SL_000009,CHRIST STANDARD SENIOR SECONDARY SCHOOL,Secondary,8.087399,-10.81387,8875b0813bfffff,0.67,2020,44390.5956,No,Yes,No,78,7,3,Yes,18.15982568,0.021659843,9,45,452,330,8.527816372,1,0,0,6219,43643,296895
3c2d54ed-fe6f-39c4-b032-280d3758a949,Sierra Leone,government,,G_SL_000010,JOKIE ISLAMIC PRIMARY SCHOOL,Primary,8.141449,-10.81585,8875b08325fffff,0.67,2020,44390.5956,No,No,No,105,3,,No,21.87182278,0.778027921,3,46,498,334,13.32157511,1,0,0,2656,43451,275386
2949de18-6d90-3d83-bfca-34a0f5dfde8c,Sierra Leone,government,,G_SL_000011,JOY OF SISTERHOOD JUNIOR  SECONDARY SCHOOL,Secondary,8.267695,-10.5629,8875b42ccdfffff,0.61,2020,44390.5956,No,Yes,No,24,7,,No,36.97942764,0.215257132,46,73,316,225,1.327200374,1,1,0,38651,65008,207568
cc7f8bbf-721e-38e8-a133-fddb3a80a07d,Sierra Leone,government,,G_SL_000012,IMMAM JAWARD ISLAMIC PRIMARY SCHOOL,Primary,7.994711,-10.94817,8875b01349fffff,0.67,2020,44390.5956,No,No,No,200,7,,No,0.442577374,0.258073891,28,69,829,295,0.721090315,1,0,0,21443,59193,278789
1f573258-cd55-37b6-a548-d5443152659f,Sierra Leone,government,,G_SL_000013,KONA ISLAMIC JUNIOR SECONDARY SCHOOL,Secondary,8.046597,-10.96209,8875b0893dfffff,0.67,2020,44390.5956,No,No,No,27,4,,No,5.604571322,0.297333555,8,67,779,290,2.424018014,1,0,0,5285,62983,295073
483e6d18-ea65-3734-8ac3-630446359c7f,Sierra Leone,government,,G_SL_000014,PROVINCIAL ISLAMIC PRIMARY SCHOOL,Primary,7.996661,-10.8506,8875b08d4dfffff,0.61,2020,44390.5956,No,No,No,203,8,,No,11.11590544,0.613392256,36,66,422,288,1.496906078,1,0,0,30046,67148,304706
